CountVectorizer_0,Multinomial_0,Filtros,max_df,min_df,Accuraci
1,1,2,0.8,100,0.7674562488951742
0,1,2,0.8,90,0.7788580519710093
1,1,2,0.8,90,0.7788580519710093
0,1,2,0.8,80,0.7883153614990277
1,1,2,0.8,80,0.7883153614990277
0,1,2,0.8,70,0.7974191267456249
1,1,2,0.8,70,0.7974191267456249
0,1,2,0.7,100,0.7674562488951742
1,1,2,0.7,100,0.7674562488951742
0,1,2,0.7,90,0.7788580519710093
1,1,2,0.7,90,0.7788580519710093
0,1,2,0.7,80,0.7883153614990277
1,1,2,0.7,80,0.7883153614990277
0,1,2,0.7,70,0.7974191267456249
1,1,2,0.7,70,0.7974191267456249
0,1,2,0.6,100,0.7672794767544635
1,1,2,0.6,100,0.7672794767544635
0,1,2,0.6,90,0.7791232101820753
1,1,2,0.6,90,0.7791232101820753
0,1,2,0.6,80,0.7882269754286725
1,1,2,0.6,80,0.7882269754286725
0,1,2,0.6,70,0.7969771963938483
1,1,2,0.6,70,0.7969771963938483
0,1,3,0.9,100,0.7666607742619763
1,1,3,0.9,100,0.7666607742619763
0,1,3,0.9,90,0.7738200459607566
1,1,3,0.9,90,0.7738200459607566
0,1,3,0.9,80,0.7829238112073538
1,1,3,0.9,80,0.7829238112073538
0,1,3,0.9,70,0.7922927346650168
1,1,3,0.9,70,0.7922927346650168
0,1,3,0.8,100,0.7666607742619763
1,1,3,0.8,100,0.7666607742619763
0,1,3,0.8,90,0.7738200459607566
1,1,3,0.8,90,0.7738200459607566
0,1,3,0.8,80,0.7829238112073538
1,1,3,0.8,80,0.7829238112073538
0,1,3,0.8,70,0.7922927346650168
1,1,3,0.8,70,0.7922927346650168
0,1,3,0.7,100,0.7666607742619763
1,1,3,0.7,100,0.7666607742619763
0,1,3,0.7,90,0.7738200459607566
1,1,3,0.7,90,0.7738200459607566
0,1,3,0.7,80,0.7829238112073538
1,1,3,0.7,80,0.7829238112073538
0,1,3,0.7,70,0.7922927346650168
1,1,3,0.7,70,0.7922927346650168
0,1,3,0.6,100,0.7656885274880679
1,1,3,0.6,100,0.7656885274880679
0,1,3,0.6,90,0.7735548877496906
1,1,3,0.6,90,0.7735548877496906
0,1,3,0.6,80,0.7811560898002475
1,1,3,0.6,80,0.7811560898002475
0,1,3,0.6,70,0.7920275764539508
1,1,3,0.6,70,0.7920275764539508
0,1,4,0.9,100,0.7308644157680749
1,1,4,0.9,100,0.7308644157680749
0,1,4,0.9,90,0.7409404277885805
1,1,4,0.9,90,0.7409404277885805
0,1,4,0.9,80,0.7478345412762949
1,1,4,0.9,80,0.7478345412762949
0,1,4,0.9,70,0.7573802368746686
1,1,4,0.9,70,0.7573802368746686
0,1,4,0.8,100,0.7308644157680749
1,1,4,0.8,100,0.7308644157680749
0,1,4,0.8,90,0.7409404277885805
1,1,4,0.8,90,0.7409404277885805
0,1,4,0.8,80,0.7478345412762949
1,1,4,0.8,80,0.7478345412762949
0,1,4,0.8,70,0.7573802368746686
1,1,4,0.8,70,0.7573802368746686
0,1,4,0.7,100,0.7308644157680749
1,1,4,0.7,100,0.7308644157680749
0,1,4,0.7,90,0.7409404277885805
1,1,4,0.7,90,0.7409404277885805
0,1,4,0.7,80,0.7478345412762949
1,1,4,0.7,80,0.7478345412762949
0,1,4,0.7,70,0.7573802368746686
1,1,4,0.7,70,0.7573802368746686
0,1,4,0.6,100,0.7304224854162984
1,1,4,0.6,100,0.7304224854162984
0,1,4,0.6,90,0.7397914088739614
1,1,4,0.6,90,0.7397914088739614
0,1,4,0.6,80,0.7469506805727417
1,1,4,0.6,80,0.7469506805727417
0,1,4,0.6,70,0.7556125154675624
1,1,4,0.6,70,0.7556125154675624
